ym,n,tight,stress,recov,rat
2018-01,0,,,,(뉴스없음)
2018-02,0,,,,(뉴스없음)
2018-03,0,,,,(뉴스없음)
2018-04,33,70.0,60.0,30.0,"통화긴축 신호는 '[이데일리 윤필호 기자] 미국이 금리를 예상보다 빠르게 인상할 것이라는 신호가 포착되면서 금융시장 우려가 다시 커지고 있다.'에서 강하게 나타나며, '이주열 총재가 최근 이례적으로 연임됐다. 통화신"
2018-05,0,,,,(뉴스없음)
2018-06,40,,,,ERR AttributeError
2018-07,39,70.0,60.0,30.0,"미국 연준이 '네차례 긴축 예고'를 했고, 필리핀이 '6주만에 또 금리인상'을 단행했으며, '중국 위안화 고시환율 달러당 6.6위안 근접, 0.60% 또 절하'되는 등 전반적인 통화 긴축 및 환율 불안정 신호가 강하"
2018-08,40,30.0,70.0,20.0,"미국 증시 'FAANG'등 기술주 급락, 트럼프 '환율 경고'에 위안화·엔화 동반 상승, [김현석의 월스트리트나우] 무역전쟁 포성 속 나타난 유가의 '세븐 사인', 중국 위안화 고시환율(4일) 0.15% 가치 하락,"
2018-09,40,70.0,80.0,20.0,"파월 의장이 금리 인상을 시사하고, 트럼프 대통령이 중국의 환율 조작을 주장하며 무역전쟁 충격 완화를 언급하는 등 통화 긴축과 무역 갈등에 대한 우려가 높다. 또한, 국민연금 기금 고갈론과 보험료 인상 논란, 인천시"
2018-10,28,80.0,70.0,10.0,"미국 중앙은행(Fed)이 올 들어 세 번째 금리인상을 단행하면서 한국과 미국의 정책금리 차이가 0.75%포인트로 확대됐고, 메리츠종금증권은 '미 금리, 정상화에서 긴축 구간으로 전환'이라고 분석했으며, 이탈리아 재정"
2018-11,40,70.0,80.0,30.0,"미국 뉴욕증시가 '금리·실적 우려'로 급락하고 트럼프 대통령이 '연준 미쳤다'며 금리 인상을 비판했으며, 한국은행은 '고용부진·경기하강 발목'으로 11개월째 금리 동결을 결정했다. 또한 '요동치는 브릭스 펀드…중국·"
2018-12,40,80.0,70.0,30.0,"글로벌 '저금리시대' 저무나…세계 각국 '돈줄 조이기' 동참, 한국은행이 기준금리를 인상한 가운데 미국, 유럽연합(EU), 주요 신흥국들이 금리를 올리거나 양적 완화(QE)를 중단하고 있다. 이는 통화긴축 신호가 매"
2019-01,40,20.0,80.0,30.0,macro_tightening은 트럼프 대통령의 금리 동결 압박과 파월 연준 의장 해임설 논란 등 연준의 매파적 기조에 대한 반대 압력이 강하게 나타나고 있어 긴축 신호가 약화되고 있습니다. macro_stress는
2019-02,40,10.0,40.0,60.0,"Fed가 기준금리를 동결하고 '인상할 논거가 다소 약해졌다'고 밝히며 통화긴축 신호가 약화되었고, 한국은행도 금리를 동결했다. 'SOC 경기부양…23개 사업 24조 예타 면제'와 '日 전후최장 경기 확장' 소식은 경"
2019-03,28,,,,ERR AttributeError
2019-04,34,20.0,70.0,30.0,"미 중앙은행 이사들이 '기준금리 인하는 시기상조'라고 선을 그었지만, '미국 '곧' 기준금리 인하?…경기침체 동향 '심상치 않아''라는 헤드라인에서 글로벌 경기 둔화 우려와 미국 국채의 '장·단기 금리역전'이 심상치"
2019-05,37,30.0,80.0,20.0,"한국은 'GDP 쇼크'에 긴급 관계장관회의 소집, '반도체 부진' 소재·부품 수출 3년만에 마이너스, '수출이 4개월 연속 내리막길' 등 경기 둔화 신호가 강하며, 유류세 인하폭 축소와 코픽스 반등은 긴축 신호로 해"
2019-06,40,60.0,80.0,20.0,"macro_tightening은 '美 증시, 파월 발언 후 하락…한국 증시도 하락 예상'에서 파월의 매파적 발언이 언급되어 금리 인상 가능성을 시사합니다. macro_stress는 '미중협상 돌연 결렬', '美 상계"
2019-07,40,10.0,70.0,30.0,"G20 개막, 트럼프·시진핑 '운명의 담판'에 시선 집중하며 미중 정상회담 관망에 혼조 마감했고, 美연준이 금리인하 신호를 보내고 파월 미 연준의장도 금리인하 가능성을 시사하며 올해말까지 두차례 인하 전망이 나왔다."
2019-08,40,50.0,80.0,20.0,"일본 수출규제 조치 관련 주한 외교단 대상 설명회 개최, 한일 외교장관 통화(7.26) 결과, 커지는 美중재론…총성 없는 한일 외교전에 업계 '촉각', [데이터브루]日수출규제, 속타는 롯데···20일 만에 시총 60"
2019-09,40,10.0,90.0,20.0,"미국 국채금리 역전 심화, 미중 무역전쟁 불안, 홍콩 시위 격화, 골드만삭스의 한국 성장률 하향 조정, 일본의 한국 화이트리스트 제외 등 거시 경제 불안 요인이 다수 언급되었으며, 트럼프 대통령의 금리 인하 압박은 "
2019-10,40,,,,ERR AttributeError
2019-11,40,10.0,40.0,60.0,"뉴욕증시 S&P가 사상 최고치를 기록하고 미·중 무역협상 기대와 기업 실적 호재가 있었으나, DLF 사태와 무역전쟁 여파로 인한 주석 가격 하락, 그리고 문 대통령의 '확장예산 선택 아닌 필수' 발언은 경기 침체 우"
2019-12,40,20.0,70.0,40.0,"통화긴축 신호는 '뉴욕 연은 총재 금리인하 등 최근 통화정책 바람직'에서 완화적 기조를 보이나, '가계부채는 계속 늘어나고 있습니다'와 '고금리 보험약관대출에 제동 건 금감원'에서 대출 규제 움직임이 있어 혼재된 신"
2020-01,40,10.0,50.0,70.0,"미국 증시가 연일 최고치를 기록하고 나스닥이 사상 첫 9000을 돌파하며 '산타랠리'가 이어지고 있다는 점은 회복 기대감을 높이지만, 금값 급등과 IMF의 인도 경제 급속 둔화 경고, 그리고 트럼프의 무역합의 관련 "
2020-02,39,10.0,70.0,40.0,"macro_tightening은 '갈 곳 잃은 부동자금 1000조 넘었다'에서 저금리 영향으로 유동성이 불어났다고 언급되어 통화긴축 신호는 약하지만, '기준금리 1.25%…증권사 돈 빌리려면 3년째 이자 10%'에서"
2020-03,37,0.0,90.0,10.0,"코로나19 확진자 급증, 사망자 발생, 완치 후 재확진, 어린이집 폐쇄, 기업 자금조달 우려, 중국발 공급망 마비 등 코로나19 관련 부정적 뉴스가 압도적이며, 기준금리 동결에도 불구하고 인하를 점친 이들이 많았다는"
2020-04,40,0.0,95.0,10.0,"기준금리 0%대 시대가 열리고, 미국과 중국이 금리인하를 할 것이라는 전망이 나오며, 미국 2조달러 부양책, 한국 긴급재난지원금, 추경예산 3조1천억원 확보 등 전례 없는 돈풀기 속도전이 진행되고 있어 통화긴축 신호"
2020-05,29,,,,ERR AttributeError
2020-06,35,0.0,80.0,40.0,"코로나19로 인한 '코로나發 자금수요에 올해 은행채 순발행 30조 육박', '금융사, 코로나發 '신종자본증권·후순위채' 잇단 발행', '코로나 여파' 올해 은행권 대외채무 급증' 등 금융 시장의 불안정성이 높고, '"
2020-07,27,10.0,70.0,60.0,"macro_tightening: '저금리로 NIM 축소' 언급은 현재 저금리 기조를 나타내며, 통화 긴축 신호는 거의 없음. macro_stress: '코로나 여파' 금융지주 실적전망 빨간불, '경제위기 극복' 정부"
